Date,IWDA.L
2010-12-31,0.06944446035492713
2011-01-31,0.023517026383873763
2011-02-28,0.017832663253934067
2011-03-31,0.008760115438290361
2011-04-30,0.04008012138228878
2011-05-31,-0.022157952480190257
2011-06-30,-0.011822679846685502
2011-07-31,-0.014955159875622348
2011-08-31,-0.0735492695704012
2011-09-30,-0.08120901735562291
2011-10-31,0.12841854260418173
2011-11-30,-0.05690196596263597
2011-12-31,-0.007076369882986877
2012-01-31,0.05851460895990268
2012-02-29,0.05740612610386453
2012-03-31,0.007372631106887351
2012-04-30,-0.026946090496777986
2012-05-31,-0.07213677300347221
2012-06-30,0.01879146058773884
2012-07-31,0.0054249410705145
2012-08-31,0.06726621908465646
2012-09-30,0.018537217244565918
2012-10-31,-0.005956267436035501
2012-11-30,0.014647090988654243
2012-12-31,0.023950116574797287
2013-01-31,0.04742068521791931
2013-02-28,0.0019884504171603368
2013-03-31,0.020302154759427093
2013-04-30,0.02962303209779149
2013-05-31,0.01336818036944143
2013-06-30,-0.031545698532134625
2013-07-31,0.05270946861617998
2013-08-31,-0.02419129757547278
2013-09-30,0.05131169398847013
2013-10-31,0.04250066315272427
2013-11-30,0.01709620471740192
2013-12-31,0.017326144695311463
2014-01-31,-0.03584137879875826
2014-02-28,0.05088321354198411
2014-03-31,-0.0002509316627524738
2014-04-30,0.009535786265136403
2014-05-31,0.019885638731381272
2014-06-30,0.0204728290904006
2014-07-31,-0.014091238778097814
2014-08-31,0.016957383324597508
2014-09-30,-0.02048596045091211
2014-10-31,0.0034046545059582822
2014-11-30,0.021328189624670202
2014-12-31,-0.009017585990012678
2015-01-31,-0.025143660901900122
2015-02-28,0.058216723160919415
2015-03-31,-0.012999102820077657
2015-04-30,0.02328311037420905
2015-05-31,-0.001838612260249839
2015-06-30,-0.021183559225831705
2015-07-31,0.020465838177681883
2015-08-31,-0.061549145179829345
2015-09-30,-0.04618023325220422
2015-10-31,0.08241042486078265
2015-11-30,-0.00404468650684453
2015-12-31,-0.013616810475708951
2016-01-31,-0.07265681602036078
2016-02-29,0.009663069288011528
2016-03-31,0.06078630324356826
2016-04-30,0.0078030607807526575
2016-05-31,0.011855742609751196
2016-06-30,-0.014108086008927212
2016-07-31,0.04438520134301771
2016-08-31,0.002322305409472758
2016-09-30,0.007646010941181114
2016-10-31,-0.019314787771181008
2016-11-30,0.015005846817147228
2016-12-31,0.025409989624799012
2017-01-31,0.015994572972177767
2017-02-28,0.032816040066671714
2017-03-31,0.011163517016431923
2017-04-30,0.013588178876424939
2017-05-31,0.019689957973608063
2017-06-30,0.004519334825881849
2017-07-31,0.025357828733671983
2017-08-31,-0.0013960848758739486
2017-09-30,0.024965049083657487
2017-10-31,0.020265021857204468
2017-11-30,0.018907522005907174
2017-12-31,0.02136838307312594
2018-01-31,0.04587997656436005
2018-02-28,-0.03439204845488697
2018-03-31,-0.029438469340730467
2018-04-30,0.01853588618788904
2018-05-31,0.0020219998634001257
2018-06-30,0.0025683949487556035
2018-07-31,0.02744739173135602
2018-08-31,0.009795177597761162
2018-09-30,0.00934742102584396
2018-10-31,-0.0746112264881702
2018-11-30,0.005098196042885306
2018-12-31,-0.06857031265396651
2019-01-31,0.0744251409929908
2019-02-28,0.03285151088721183
2019-03-31,0.010359863505667866
2019-04-30,0.03507826511219525
2019-05-31,-0.052832827027414764
2019-06-30,0.06091742559310487
2019-07-31,0.01331719927062891
2019-08-31,-0.028673840259438532
2019-09-30,0.023545952489557598
2019-10-31,0.021630872472673035
2019-11-30,0.03259960504324666
2019-12-31,0.02571192834403213
2020-01-31,-0.0019038383977278972
2020-02-29,-0.09537434453271287
2020-03-31,-0.11034965377147943
2020-04-30,0.09184273381558405
2020-05-31,0.04214909338831796
2020-06-30,0.028987990821948362
2020-07-31,0.0475708460339761
2020-08-31,0.07004828632860383
2020-09-30,-0.02979677680167958
2020-10-31,-0.03443463903627508
2020-11-30,0.12417676075395323
2020-12-31,0.04529862842070331
2021-01-31,-0.004921402636255623
2021-02-28,0.02802583994874186
2021-03-31,0.029934488961083083
2021-04-30,0.04554304074385751
2021-05-31,0.017125803202527656
2021-06-30,0.010736911459832799
2021-07-31,0.019555804179110625
2021-08-31,0.025455855424868945
2021-09-30,-0.03740905023596419
2021-10-31,0.04977802278715315
2021-11-30,-0.018624283774433925
2021-12-31,0.04063334367877691
2022-01-31,-0.06019240790715319
2022-02-28,-0.015833355131603444
2022-03-31,0.0352002386181558
2022-04-30,-0.07513437914934129
2022-05-31,-0.01794059559785388
2022-06-30,-0.08658179681312561
2022-07-31,0.07422530483192125
2022-08-31,-0.03290933023876197
2022-09-30,-0.07971806822825833
2022-10-31,0.05377138588047181
2022-11-30,0.047672357336826066
2022-12-31,-0.02335201418452426
2023-01-31,0.06558266514891864
2023-02-28,-0.0170533945132727
2023-03-31,0.025697801946261922
2023-04-30,0.01894958088783727
2023-05-31,-0.010858745840708894
2023-06-30,0.06321769257073151
2023-07-31,0.03382385950469424
2023-08-31,-0.022385454420608353
2023-09-30,-0.04027712726252386
2023-10-31,-0.03523803700624928
2023-11-30,0.09181988590837742
2023-12-31,0.05645255914841463
2024-01-31,0.013963763772127047
2024-02-29,0.03339841455524972
2024-03-31,0.03630639007003511
2024-04-30,-0.030477947257214977
2024-05-31,0.027258492014115454
2024-06-30,0.0373118965653918
2024-07-31,0.012349330111784074
2024-08-31,0.01820115438817238
2024-09-30,0.021393934003741233
2024-10-31,-0.014056921733149652
2024-11-30,0.04409402329778289
2024-12-31,-0.02034725956541017
2025-01-31,0.038493474554247786
2025-02-28,-0.02462219238281249
2025-03-31,-0.04374376109462241
2025-04-30,0.007910052688847147
2025-05-31,0.0649583488882517
2025-06-30,0.01100954917342345
