Date,Monthly_Return_GBP
2010-12-31,-0.2867532751355024
2011-01-31,0.2929032537054226
2011-02-28,-0.05301606208545706
2011-03-31,-0.33442637435322187
2011-04-30,-0.5396307557629836
2011-05-31,-0.009744222221362953
2011-06-30,-0.6343682298566953
2011-07-31,5.109210738583545
2011-08-31,-0.8339530294965214
2011-09-30,-0.3622857907556202
2011-10-31,-0.4835739796596782
2011-11-30,1.9043065341040468
2011-12-31,-0.670556585526933
2012-01-31,10.208733566936482
2012-02-29,0.3821783647703394
2012-03-31,-0.13131409009170547
2012-04-30,0.4125693645689219
2012-05-31,-0.3660230703887194
2012-06-30,0.3363747897173788
2012-07-31,0.26571345680602976
2012-08-31,-0.1458392333517332
2012-09-30,0.0885069666813516
2012-10-31,0.15528308291923265
2012-11-30,-0.2872037407400332
2012-12-31,-0.5297883230231089
2013-01-31,0.8151884439412651
2013-02-28,0.47709111431109785
2013-03-31,-0.3487157688636785
2013-04-30,-0.2941764825323604
2013-05-31,-0.3447450258989848
2013-06-30,0.0019224975184048976
2013-07-31,-0.0010669075906928338
2013-08-31,-0.32176548227053015
2013-09-30,-0.7393204176075115
2013-10-31,5.5417194654745074
2013-11-30,0.6994030344642634
2013-12-31,0.15626219894477988
2014-01-31,-0.8412384273739941
2014-02-28,3.350458692972495
2014-03-31,-0.35071221216351367
2014-04-30,-0.27797516802334554
2014-05-31,0.49109419283653954
2014-06-30,-0.32098926821414875
2014-07-31,-0.10654425502684217
2014-08-31,-0.018961836641668506
2014-09-30,-0.2928983474382184
2014-10-31,-0.7726574498079666
2014-11-30,0.6378902178675072
2014-12-31,6.326726066225709
2015-01-31,-0.8691175669226376
2015-02-28,0.6359671883871085
2015-03-31,2.001575313533841
2015-04-30,-0.7916571583094575
2015-05-31,-0.40419126858380783
2015-06-30,2.4231625656394944
2015-07-31,4.752937282107233
2015-08-31,-0.9488931168428036
2015-09-30,0.638548651894639
2015-10-31,12.748801588271569
2015-11-30,1.4535294969790877
2015-12-31,-0.14213252589083059
2016-01-31,0.9644939634452694
2016-02-29,-0.009083130874404155
2016-03-31,-0.3502283835062754
2016-04-30,0.0165108131295979
2016-05-31,0.468703178784474
2016-06-30,-0.19368695897408528
2016-07-31,-0.05410250001648009
2016-08-31,0.32612467632715814
2016-09-30,-0.19539957224484206
2016-10-31,0.06919409088521888
2016-11-30,0.6223115318055421
2016-12-31,0.008878840320786674
2017-01-31,0.0596354299427293
2017-02-28,0.0409255008512448
2017-03-31,0.4155270524786061
2017-04-30,0.09206918579436407
2017-05-31,0.20996107653630292
2017-06-30,0.061760134469067474
2017-07-31,0.07132336113011228
2017-08-31,-0.08707741428360505
2017-09-30,0.09258590769500574
2017-10-31,0.07470254435156876
2017-11-30,0.11948814239661654
2017-12-31,0.09643435114168608
2018-01-31,0.11149294392164655
2018-02-28,0.11150174864612494
2018-03-31,0.04128993450607665
2018-04-30,0.036251425938982784
2018-05-31,0.023142692377117413
2018-06-30,-0.01042652928202803
2018-07-31,0.06071917207134425
2018-08-31,0.025458485935919928
2018-09-30,0.051674767370510244
2018-10-31,0.02957410373979452
2018-11-30,0.019192474001441306
2018-12-31,-0.010550100722868216
2019-01-31,0.05134177248965743
2019-02-28,0.03398700260514009
2019-03-31,-0.04227666769907734
2019-04-30,0.007513482456408926
2019-05-31,-0.05583653338617456
2019-06-30,-0.10774588428045262
2019-07-31,-0.043049828778461974
2019-08-31,-0.045833717758777315
2019-09-30,-0.0763102415573399
2019-10-31,-0.11177567941367061
2019-11-30,0.028926717515361355
2019-12-31,-0.0075799582894663375
2020-01-31,0.0014837152212627824
2020-02-29,-0.19788217612350434
2020-03-31,-0.9765886253559654
2020-04-30,2.0242075392765106
2020-05-31,0.4051188545286446
2020-06-30,0.053752703093466137
2020-07-31,-0.344868074906412
2020-08-31,0.16539991921628228
2020-09-30,-0.138084305960128
2020-10-31,-0.018566783049336566
2020-11-30,-0.06843661620524777
2020-12-31,-0.11391247661764736
2021-01-31,-0.2564271027139564
2021-02-28,-0.25579080970656376
2021-03-31,-0.635505231750206
2021-04-30,-0.7657693911606926
2021-05-31,1.7101532173495166
2021-06-30,3.8809519799743937
2021-07-31,0.008783568433613942
2021-08-31,-0.014599800087637727
2021-09-30,-0.3169924047693071
2021-10-31,0.7620754434591783
2021-11-30,-0.03519168936780115
2021-12-31,-0.30303428066110216
2022-01-31,4.205534393940427
2022-02-28,0.6609997010952582
2022-03-31,0.6818024214299376
2022-04-30,0.5547427375054417
2022-05-31,0.29348589677438097
2022-06-30,0.4901149290970581
2022-07-31,0.44118064812666224
2022-08-31,0.19204397974237963
2022-09-30,0.06513006905751229
2022-10-31,0.2977316712166158
2022-11-30,0.10231494005602548
2022-12-31,0.010823852205791074
2023-01-31,0.09922212116713158
2023-02-28,0.006269681051507936
2023-03-31,-0.0002517248207349887
2023-04-30,0.08327277346191742
2023-05-31,0.05871308774883399
2023-06-30,-0.0020618785114266958
2023-07-31,0.0377580407817979
2023-08-31,-0.0016385008202196572
2023-09-30,-0.03952158121677174
2023-10-31,0.0005619959249190121
2023-11-30,0.02753251988385963
2023-12-31,-0.00814511879494817
2024-01-31,-0.0014816188009245668
2024-02-29,0.004171060801879012
2024-03-31,-0.006722110775917889
2024-04-30,0.002767126879074988
2024-05-31,0.013583414555345286
2024-06-30,-0.01271219324879469
2024-07-31,-6.672625120696107e-05
2024-08-31,-0.007708334087909385
2024-09-30,-0.0796770967455479
2024-10-31,-0.045868887321803165
2024-11-30,-0.03331916227129439
2024-12-31,-0.04892556517818136
2025-01-31,-0.01468182744975488
2025-02-28,0.015296112272053186
2025-03-31,0.02693759435859988
2025-04-30,0.03577873184906655
2025-05-31,0.0166664018419882
2025-06-30,-0.012480700338445838
